email,name,phone_number,physical_address,postal_address
admin.forrestps@education.nt.gov.au,Forrest Parade School,(08) 899 77111,"120 Flynn Circuit, Bellamack, 0832, NT","120 Flynn Circuit, Bellamack, 0832, NT"
administration@essington.nt.edu.au,Essington School,(08) 8985 0100,"22 Chapman Rd, Rapid Creek, NT","PO Box 42321, Casuarina, 0811, NT"
finke.school@education.nt.gov.au,Finke School,(08) 8956 0960,"N/A, Finke, NT","PMB 30, via Alice Springs, 0871, NT"
faft.doe@education.nt.gov.au,Family as First Teachers,(08) 899 93550,"Mitchell St, Darwin, 0800, NT","GPO Box 4821, Darwin, 0801, NT"
jennifer.cadzow@education.nt.gov.au,Epenarra School,(08) 8964 1512,"N/A, Wutunugurra (Epenarra), NT","PMB 270, via Alice Springs, 0861, NT"
kevin.gaskin@education.nt.gov.au,Elliott School,(08) 8969 2050,"91 Bray St, Elliott, NT","C/- Elliott Post Office, Elliott, 0862, NT"
durack.school@education.nt.gov.au,Durack Primary School,(08) 899 77555,"50 Woodlake Bvd, Durack, 0830, NT","PO Box  225, PALMERSTON, 0830, NT"
dundee.school@education.nt.gov.au,Dundee Beach School,(08) 8978 2212,"500 Namarada Dr, Dundee Beach, NT","PO Box 145, Dundee Beach, 0840, NT"
admin.drivesch@education.nt.gov.au,Driver Primary School,(08) 893 59000,"37 Driver Ave, Driver, 0830, NT","PO Box  33, PALMERSTON, 0831, NT"
dripstone.middle@education.nt.gov.au,Dripstone Middle School,(08) 898 37777,"10 Delamere St, Tiwi, 0810, NT","PO Box  41370, CASUARINA, 0811, NT"
janelle.thorne@education.nt.gov.au,Douglas Daly School,(08) 8978 2836,"Jungawa Rd, Douglas-Daly, NT","PMB 46, via Winnellie, 0822, NT"
admin.darwinmiddle@education.nt.gov.au,Darwin Middle School,(08) 894 25200,"Atkins Drive, The Gardens, NT 0820, not available, NT","PO Box 2257, PARAP, 0804, NT"
dlc.nt@education.nt.gov.au,Darwin Languages Centre,(08) 899 77000,"1 Nemarluk Dr, Ludmilla, NT, NT","P O Box 822, Nightcliff, 0814, NT"
darwin.high@education.nt.gov.au,Darwin High School,(08) 899 91222,"10 Atkins Dr, The Gardens, 0820, NT","Bullocky Point, DARWIN, 0820, NT"
admin.clydesch@education.nt.gov.au,Clyde Fenton Primary School,(08) 897 33844,"101 Giles St, Katherine, 0850, NT","PO Box 421, KATHERINE, 0851, NT"
centralian.middle@education.nt.gov.au,Centralian Middle School,(08) 895 52333,"56 Milner Rd, Alice Springs, 0870, NT","PO Box 1771, ALICE SPRINGS, 0871, NT"
admin.centraliansc@education.nt.gov.au,Centralian Senior College,(08) 895 85000,"10 Grevillea Drive, Alice Springs, 0870, NT","PO Box 4856, ALICE SPRINGS, 0871, NT"
casuarina.admin@education.nt.gov.au,Casuarina Street Primary School,(08) 897 33800,"Casuarina St, Katherine East, 0850, NT","PO Box 1046, KATHERINE, 0851, NT"
csc.admin@education.nt.gov.au,Casuarina Senior College,(08) 898 37300,"61 Parer Dr, Moil, 0810, NT","PO Box  40196, CASUARINA, 0811, NT"
admin.cantesch@education.nt.gov.au,Canteen Creek School,(08) 8964 1505,"N/a, Canteen Creek, NT","PMB 105, via Alice Springs, 0872, NT"
jenine.williams@education.nt.gov.au,Bulla Camp School,(08) 9167 8957,"N/A, Bulla, NT","PMB 89, Katherine, 0851, NT"
admin.callistemon@education.nt.gov.au,Callistemon House,(08) 8972 3212,"80 Callistemon Dr, Katherine East, 0850, NT","PO Box 1971, Katherine East, 0851, NT"
natasha.hosny@education.nt.gov.au,Bulman School,(08) 8975 4707,"N/A, Bulman, NT","PMB 13, Katherine, 0851, NT"
admin.braitsch@education.nt.gov.au,Braitling Primary School,(08) 895 85111,"80 Head St, Alice Springs, 0870, NT","PO Box  1669, ALICE SPRINGS, 0871, NT"
bradshaw.school@education.nt.gov.au,Bradshaw Primary School,(08) 895 52100,"23 Adamson Ave, Alice Springs, 0870, NT","PO Box 1744, ALICE SPRINGS, 0871, NT"
admin.angurcec@education.nt.gov.au,Angurugu School,(08) 8987 6355,"N/A, Angurugu, NT","PO Box 40, Alyangula, Groote Eylandt, 0885, NT"
katrina.georgiou@education.nt.gov.au,Ampilatwatja School,(08) 8956 9265,"N/A, Ampilatwatja (Ammaroo), NT",", PMB 84, Alice Springs, 0872, NT"
cherie.gibbens@education.nt.gov.au,Amoonguna School,(08) 8952 3402,"N/A, Amoonguna, NT","PO Box  2529,, Alice Springs, 0871, NT"
Carolyn.tucker@education.nt.gov.au,Amanbidji School,(08) 9168 7380,"N/A, Amanbidgi (Kildirk), NT","PMB 16, via Katherine, 0851, NT"
admin.umbakumba@education.nt.gov.au,Alyarrmandumanja Umbakumba School,(08) 8987 6793,"N/A, Umbakumba, NT","PO Box 698, Alyangula, 0885, NT"
daven.scott@education.nt.gov.au,Alpurrurulam School,(07) 4748 4887,"N/A, Alpurrurulam (Lake Nash), NT","PMB 46, Mt Isa, 4825, QLD"
alyangula.admin@education.nt.gov.au,Alyangula Area School,(08) 8987 6366,"Cnr Flinders St & Ayawarra Cr, Alyangula, NT","PMB 3, Alyangula, Groote Eylandt, 0885, NT"
accounts@alicesteiner.nt.edu.au,Alice Springs Steiner School,(08) 8953 4578,"Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT","PO Box 2736, Alice Springs, 0871, NT"
assoa@assoa.nt.edu.au,Alice Springs School Of The Air,(08) 8951 6800,"80 Head St, Alice Springs, 0870, NT","PO Box 1220, Alice Springs, 0871, NT"
alice.language@education.nt.gov.au,Alice Springs Language Centre,(08) 895 52366,"Milner Road, Alice SPrings, 0870, NT","PO Box 9045, Alice Springs, 0871, NT"
sian.munn@education.nt.gov.au,Alcoota School,(08) 8956 9977,"N/A, Engawala (Alcoota Stn), NT","PMB 129,, via Alice Springs, 0872, NT"
admin.alekacec@education.nt.gov.au,Alekarenge School,(08) 8964 1957,"N/A, Ali Curung (Warrabri), NT","LMB 161, via Alice Springs, 0872, NT"
